Date,Prophet_Forecast
2023-12-30,194.17062446968774
2023-12-31,194.09019440577381
2024-01-01,192.82280756172668
2024-01-02,192.59650850540604
2024-01-03,192.57102846152256
2024-01-04,192.27394480589365
2024-01-05,192.15037333547144
2024-01-06,193.51234731988114
2024-01-07,193.43361516370504
2024-01-08,192.19359310013405
2024-01-09,192.0218902785692
2024-01-10,192.07927548391197
2024-01-11,191.8937834708302
2024-01-12,191.91036689228986
2024-01-13,193.4402491286935
2024-01-14,193.55571080925716
2024-01-15,192.53404704300178
2024-01-16,192.6021129353083
2024-01-17,192.9173264489225
2024-01-18,193.0038260234818
2024-01-19,193.30218798429465
2024-01-20,195.1188577398875
2024-01-21,195.52102592473537
2024-01-22,194.78068457926247
2024-01-23,195.11927877326488
2024-01-24,195.6888203692347
2024-01-25,196.0081588413287
2024-01-26,196.51281160663916
2024-01-27,198.50450528056024
2024-01-28,199.04615647398992
