Date,Close
,AAPL
2020-01-10,74.94882202148438
2020-01-13,76.55003356933594
2020-01-14,75.51636505126953
2020-01-15,75.19274139404297
2020-01-16,76.1346435546875
2020-01-17,76.97753143310547
2020-01-21,76.45586395263672
2020-01-22,76.72879028320312
2020-01-23,77.09829711914062
2020-01-24,76.87608337402344
2020-01-27,74.61553192138672
2020-01-28,76.7263412475586
2020-01-29,78.33242797851562
2020-01-30,78.21890258789062
2020-01-31,74.75077056884766
2020-02-03,74.54549407958984
2020-02-04,77.00648498535156
2020-02-05,77.63443756103516
2020-02-06,78.54253387451172
2020-02-07,77.47492980957031
2020-02-10,77.84290313720703
2020-02-11,77.37326049804688
2020-02-12,79.21070861816406
2020-02-13,78.64664459228516
2020-02-14,78.66600799560547
2020-02-18,77.22557067871094
2020-02-19,78.34400939941406
2020-02-20,77.54029846191406
2020-02-21,75.78514862060547
2020-02-24,72.18534088134766
2020-02-25,69.74027252197266
2020-02-26,70.84658813476562
2020-02-27,66.21548461914062
2020-02-28,66.17675018310547
2020-03-02,72.33786010742188
2020-03-03,70.04045104980469
2020-03-04,73.28927612304688
2020-03-05,70.9119644165039
2020-03-06,69.97025299072266
2020-03-09,64.43614959716797
2020-03-10,69.0769271850586
2020-03-11,66.67787170410156
2020-03-12,60.09312057495117
2020-03-13,67.29276275634766
2020-03-16,58.63575744628906
2020-03-17,61.213985443115234
2020-03-18,59.7154655456543
2020-03-19,59.25791931152344
2020-03-20,55.49589538574219
2020-03-23,54.31692886352539
2020-03-24,59.76630401611328
2020-03-25,59.437068939208984
2020-03-26,62.5648193359375
2020-03-27,59.97450256347656
2020-03-30,61.68604278564453
2020-03-31,61.56016159057617
2020-04-01,58.321048736572266
2020-04-02,59.294227600097656
2020-04-03,58.442081451416016
2020-04-06,63.54042434692383
2020-04-07,62.80448913574219
2020-04-08,64.41194915771484
2020-04-09,64.87674713134766
2020-04-13,66.15013122558594
2020-04-14,69.49091339111328
2020-04-15,68.85665130615234
2020-04-16,69.40377044677734
2020-04-17,68.4620361328125
2020-04-20,67.04100799560547
2020-04-21,64.96874237060547
2020-04-22,66.84007263183594
2020-04-23,66.5810317993164
2020-04-24,68.50321197509766
2020-04-27,68.55162048339844
2020-04-28,67.44043731689453
2020-04-29,69.65553283691406
2020-04-30,71.125
2020-05-01,69.97993469238281
2020-05-04,70.97007751464844
2020-05-05,72.03524780273438
2020-05-06,72.7784423828125
2020-05-07,73.53132629394531
2020-05-08,75.2815170288086
2020-05-11,76.46607208251953
2020-05-12,75.59221649169922
2020-05-13,74.67950439453125
2020-05-14,75.13829040527344
2020-05-15,74.69407653808594
2020-05-18,76.4539566040039
2020-05-19,76.01217651367188
2020-05-20,77.49046325683594
2020-05-21,76.91272735595703
2020-05-22,77.40792083740234
2020-05-26,76.88362121582031
2020-05-27,77.21858978271484
2020-05-28,77.2525863647461
2020-05-29,77.17731475830078
