Date,ARIMA_Forecast
2023-12-30,190.90601257762043
2023-12-31,190.9032234706917
2024-01-01,190.9176297866959
2024-01-02,190.939421959337
2024-01-03,190.89775904984822
2024-01-04,190.898484990688
2024-01-05,190.89895923119244
2024-01-06,190.89986928750565
2024-01-07,190.90088608640517
2024-01-08,190.89919280978282
2024-01-09,190.89925261916443
2024-01-10,190.89929021002067
2024-01-11,190.89933769051083
2024-01-12,190.89938291138938
2024-01-13,190.89931331099896
2024-01-14,190.8993166384906
2024-01-15,190.89931875732597
2024-01-16,190.8993210395698
2024-01-17,190.89932299475763
2024-01-18,190.8993201108417
2024-01-19,190.89932027308652
2024-01-20,190.89932037906308
2024-01-21,190.89932048415488
2024-01-22,190.8993205672045
2024-01-23,190.89932044703474
2024-01-24,190.89932045446153
2024-01-25,190.89932045946608
2024-01-26,190.89932046418664
2024-01-27,190.89932046767342
2024-01-28,190.8993204626465
